NGSS Topic,"Subtopics: 
MOLECULES TO CELLS
ORGANISMS
ECOSYSTEMS
HEREDITY
EVOLUTION",Word,Definition,NEW COLUMN - THREE RHYMES ONLY,Level of Difficulty,Number of Syllables,Broad Grade Level,SFUSD Grade
Life,Evolution,Mammal,Hairy plus dairy,"camel, handle, battle",1,2,Middle School,
Life,Evolution,Mate,noun: a fellow member or joint occupant of a specified thing; verb: to come together for breeding,"date, create, procreate",1,1,Middle School,
Life,Ecosystems,Matter,anything that has mass and takes up space.,"ladder, bladder, swagger",2,2,Middle School,7
Life,Ecosystems,Medicine,Many medicines are produced by experimenting with new chemical reactions,"excellent, Edison, skeleton",2,3,Middle School,7
Life,Molecules to Cells,Membrane,"a bendable, sheetlike structure acting as a boundary, lining, or partition in an organism","insane, exchange, sustained",2,2,Middle School,6
Life,Molecules to Cells,Mitochondria,the powerhouse of the cell,"hypochondria, going on and on, like insomnia",3,5,Middle School,6
Life,Molecules to Cells,Molecules,a group of atoms bonded together,"constitute, possible, soluble",3,3,Middle School,7
Life,Molecules to Cells,Multicellular,having or consisting of many cells,"like a predator, a competitor, it's molecular",3,5,Middle School,6
Life,Organisms,Muscle,"organ that can relax, contract, and provide the force to move bones and body parts.","hustle, chuckle, juggle",2,2,Middle School,6
Life,Heredity,Mutation,"any permanent change in a gene or chromosome of a cell; may be beneficial, harmful, or have little effect on an organism.","causation, Dalmation, new changes",3,3,Middle School,
Life,Organisms,Nerve,"a bundle of fibers that transmits impulses of sensation to the brain or spinal cord, and impulses from these to the muscles and organs","serve, observe, swerve",1,1,Middle School,6
Life,Ecosystems,Nest,a structure or place made or chosen by a bird for laying eggs and sheltering its young,"guest, pest, stressed",1,1,Middle School,6
Life,Molecules to Cells,Nucleus,organelle that controls all the activities of a cell and contains hereditary material made of proteins and DNA; positively charged center of an atom that contains protons and neutrons and is surrounded by a cloud of electrons.,"dubious, curious, nutrients",3,3,Middle School,6
Life,Organisms,Odor,"An distinct, upleasant smell","owner, toaster, coder",2,2,Middle School,6
Life,Heredity,Offspring,a child or children of an animal ,"soft drink, lost wing, not sing",2,1,Middle School,
Life,Molecules to Cells,Organelle,"structure in the cytoplasm of a eukaryotic cell that can act as a storage site, process energy, move materials, or manufacture substances.","hold the cell, little shell, can expel,",3,3,Middle School,6
Life,"Organisms, Ecosystems",Organism,any living thing.,"Darwinsm, ecosystem, organ system",3,4,Middle School,6
Life,Organisms,Oxygen,"the life-supporting component of the air; a colorless, odorless reactive gas, the chemical element of atomic number 8","stop button, Washington, approximate",3,3,Middle School,7
Life,Heredity,Parent,A punnett square shows the probabilty of a parent passing down a specific allele,"inherit, caring, marriage, embarassed",2,2,Middle School,
Life,Organisms,Photosynthesis,process by which plants and many other producers use light energy to produce a simple sugar from carbon dioxide and water and give off oxygen.,"broken instruments, solar stimulus, it's so intricate",3,5,Middle School,7
Life,Organisms,Plankton,marine organisms that drift in ocean currents.,"blanket, thank them, ranking",2,2,Middle School,
Life,Organisms,Plants,"Plants make their own food using photosynthesis, creating Oxygen we need to breathe","ants, dance, chance",1,1,Middle School,6
Life,Ecosystems,Pollen,"How plants reproduce sexually - some blows in the wind, some is transported by pollinators like bees","fallen, cotton, all in",2,2,Middle School,6
Life,"Ecosystems, Evolution",Population,total number of individuals of one species occupying the same area.,"propogation, starvation, migration",3,4,Middle School,
Life,Ecosystems,Predator,an animal that naturally preys on others,"cellular, messenger, metaphor",3,3,Middle School,
Life,Evolution,Probability,"Since each parent has two copies of each chromosome, they have a 50/50 chance of passing on a given gene ","my ability, fertility, for a given gene",3,5,Middle School,
Life,Ecosystems,Producer,"organism, such as a green plant or alga, that uses an outside source of energy like the Sun to create energy-rich food molecules.","Medussa, Consumer, it's super",3,3,Middle School,
Life,Molecules to Cells,Prokaryotic,Tiny cells - like bacteria - that don't have a nucleus,"So very rotten, hope they aren't toxic, know they're aquatic",3,5,Middle School,6
Life,Heredity,Protein,"large molecule that contains carbon, hydrogen, oxygen, nitrogen, and sometimes sulfur and is made up of amino acids; used by the body for growth and for replacement and repair of body cells.","so mean, coding, grow things",2,2,Middle School,
Life,Heredity,Punnett,A table that helps you calculate the probabilty of inheriting certain genes,"sum it, who done it?, Brunette, ",2,2,Middle School,6
Life,Evolution,Carbon Dating,A technique to figure out the age of ancient organic matter,"Harlem Shaking, estimating, indicating",3,7,Middle School,
Life,Organisms,Receptor,an organ or cell that responds to external stimulus such as light or heat and transmits a signal to a sensory nerve.,"a sensor, detector, no pressure",3,3,Middle School,6
Life,Ecosystems,Recycle,to convert waste into reusable material,"revival, disciple, it's spiteful",3,3,Middle School,
Life,Evolution,Related,"belonging to the same family, group, or type","created, the greatest, awaited",3,3,Middle School,
Life,Evolution,Reproduce,to create offspring,"people who, leads to fruits, please excuse",3,3,Middle School,
Life,Organisms,Reproduction,the production of offspring by a sexual or asexual process,"needs seduction, introduction, repurcussions",3,4,Middle School,6
Life,Ecosystems,Resilient,able to withstand or recover quickly from difficult conditions,"civilian, it's brilliant, opinion",3,3,Middle School,
Life,Ecosystems,Resource,a stock or supply materials that can be drawn on by a person or animal in order to function effectively,"key source, reports, we force",2,2,Middle School,
Life,Organisms,Respiration,process by which producers and consumers release stored energy from food molecules; series of chemical reactions used to release energy stored in food molecules.,"oxygenation, inflation, in the matrix",3,4,Middle School,7
Life,Ecosystems,Responsibility,What responsibility do humans have to the living things around them?,"got me ill at ease, live in infamy, human activity",3,6,Middle School,7
Life,Evolution,Rocks,Fossils found inside rock layers form crucial evidence of the history of life on Earth,"blocks, box, talks",1,1,Middle School,
Life,Ecosystems,scarcity,the state of being in short supply,"carefully, rarity, warily",1,1,Middle School,
Life,Evolution,Sedimentary,Sedimentary rocks are the best at forming fossils,"set in memory, documentary, be so feathery",3,5,Middle School,
Life,Organisms,Seeds,"a flowering plant's unit of reproduction, capable of developing into another such plant","leads, weeds, breeze, bees",1,1,Middle School,6
Life,Evolution,Selection,"When genetic variation exists among limited resources, natural selection will lead to evolution","collection, lesson, question",3,3,Middle School,
Life,Organisms,Sense,an ability which allows the body to perceive an external stimulus,"dense, defense, fence",1,1,Middle School,6
Life,Organisms,Signal,"Your sensory system (ears, eyes, etc.) capture signals from the world (light, sound) and sends the information to your brain","tickle, sprinkle, single,",2,2,Middle School,
Life,Evolution,Skull,a framework of bone or cartilage enclosing the brain of a vertebrate,"bull, wool, minerAL",1,1,Middle School,
Life,Organisms,Smell,the power of perceiving odors or scents by means of the organs in the nose,"cell, swell, well",1,1,Middle School,6
Life,Ecosystems,Space,Local environmental conditions - like the amount of light and space - can affect organism growth,"base, race, weights",1,1,Middle School,6
Life,Ecosystems,Stewardship,Taking care of the environment,"doin it, polluted it, ruin it",3,3,Middle School,7
Life,Heredity,Structure,Structure leads to function.,"rupture, junction, another",2,2,Middle School,
Life,Ecosystems,Sugar,a sweet crystalline substance obtained from various plants and consisting essentially of sucrose,"booger, fuller, butcher",2,2,Middle School,7
Life,Ecosystems,Sunlight,"light from the sun, used by plants for photosynthesis","some might, upright, real bright",2,2,Middle School,7
Life,Evolution,Survive,"to continue to live or exist, especially in spite of danger or hardship","supplies, to thrive, arise",2,2,Middle School,6
Life,Ecosystems,Symbiosis,"any close relationship between species, including mutualism, commensalism, and parasitism.","with a protist, it's a bonus, through osmosis,",3,5,Middle School,
Life,Molecules to Cells,Tissue,group of similar cells that work together to do one job.,"issue, misuse, igloo",2,2,Middle School,6
Life,"Evolution, Heredity",Trait,"a physical quality or characteristic, determined by DNA","DNA, fate, mate",1,1,Middle School,6
Life,Molecules to Cells,Unicellular,consisting of a single cell,"through the centromere, new competitor, human editor ",3,5,Middle School,6
Life,"Evolution, Heredity",Variation,inherited trait that makes an individual different from other members of the same species and results from a mutation in the organism’s genes.,"a mutation, Eritrean, very patient, through migration",3,4,Middle School,6
Life,"Ecosystems, Molecules to Cells",Water,"a transparent, colorless, odorless, tasteless liquid that forms the basis of life","swatter, otter, slaughter",2,2,Middle School,6
Life,Evolution,Wing,"a specialized, paired appendage that enables some animals to fly","sing, fling, king",1,1,Middle School,
