Vocab Word,Definition
asthma,"lung disorder in which the bronchial tubes contract quickly and cause shortness of breath, wheezing, or coughing; may occur as an allergic reaction."
atmosphere,"air surrounding Earth; is made up of gases, including 78 percent nitrogen, 21 percent oxygen, and 0.03 percent carbon dioxide."
atom,"tiny building block of matter, made up of protons, neutrons, and electrons."
atomic number,number of protons in an atom’s nucleus.
atriums,two upper chambers of the heart that contract at the same time during a heartbeat.
auxin,plant hormone that causes plant leaves and stems to exhibit positive phototropisms.
average atomic mass,weighted-average mass of the mixture of an element’s isotopes.
average speed,total distance an object travels divided by the total time it takes to travel that distance.
axis,imaginary vertical line that cuts through the center of Earth and around which Earth spins.
axon,neuron structure that carries messages away from the cell body.
balanced chemical equation,chemical equation with the same number of atoms of each element on both sides of the equation.
balanced forces,forces on a object that combine to give a zero net force and do not change the motion of the object.
basaltic,"describes dense, dark-colored igneous rock formed from magma rich in magnesium and iron and poor in silica."
base,substance with a pH above 7.
basidium,"club-shaped, reproductive structure in which club fungi produce spores."
basin,low area on Earth in which an ocean formed when the area filled with water from torrential rains.
batholith,largest intrusive igneous rock body that forms when magma being forced upward toward Earth’s crust cools slowly and solidifies underground.
beach,"deposit of sediment whose materials vary in size, color, and composition and is most commonly found on a smooth, gently sloped shoreline."
behavior,the way in which an organism interacts with other organisms and its environment; can be innate or learned.
benthos,marine plants and animals that live on or in the ocean floor.
beta particle,electron that is emitted from a decaying atomic nucleus.
bias,occurs when a scientist’s expectations change how the results of an experiment are viewed.
big bang theory,"states that about 13.7 billion years ago, the universe began with a huge, fiery explosion."
bilateral symmetry,"body parts arranged in a similar way on both sides of the body, with each half being nearly a mirror image of the other half."
binary compound,compound that is composed of two elements.
binomial nomenclature,two-word naming system that gives all organisms their scientific name.
biogenesis,theory that living things come only from other living things.
biological vector,"disease-carrying organism, such as a rat, mosquito, or fly, that spreads infectious disease."
biomass energy,renewable energy derived from burning organic materials such as wood and alcohol.
biomass,"renewable organic matter from plants and animals, such as wood and animal manure, that can be burned to provide heat."
biomes,"large geographic areas with similar climates and ecosystems; includes tundra, taiga, desert, temperate deciduous forest, temperate rain forest, tropical rain forest, and grassland."
biosphere,"part of Earth that supports life, including the top portion of Earth’s crust, the atmosphere, and all the water on Earth’s surface."
biotic,features of the environment that are alive or were once alive.
black hole,"final stage in the evolution of a very massive star, where the core’s mass collapses to a point that it’s gravity is so strong that not even light can escape."
bladder,"elastic, muscular organ that holds urine until it leaves the body through the urethra."
boiling point,the temperature at which the pressure of the vapor in the liquid is equal to the external pressure acting on the surface of the liquid.
brain stem,"connects the brain to the spinal cord and is made up of the midbrain, the pons, and the medulla."
breaker,collapsing ocean wave that forms in shallow water and breaks onto the shore.
bronchi,two short tubes that branch off the lower end of the trachea and carry air into the lungs.
budding,"form of asexual reproduction in which a new, genetically-identical organism forms on the side of its parent."
buffer,solution containing ions that react with added acids or bases and minimize their effects on pH.
buoyancy,ability of a fluid—a liquid or a gas—to exert an upward force on an object immersed in the fluid.
caldera,"large, circular-shaped opening formed when the top of a volcano collapses."
cambium,vascular tissue that produces xylem and phloem cells as a plant grows.
capillary,"microscopic blood vessel that connects arteries and veins; has walls one cell thick, through which nutrients and oxygen diffuse into body cells, and waste materials and carbon dioxide diffuse out of body cells."
carbohydrate,nutrient that usually is the body’s main source of energy.
carbon cycle,model describing how carbon molecules move between the living and nonliving world.
carbon film,thin film of carbon residue preserved as a fossil.
carbon monoxide,"colorless, odorless gas that reduces the oxygen content in the blood, is found in car exhaust, and contributes to air pollution."
cardiac muscle,"striated, involuntary muscle found only in the heart."
carnivore,"animal that eats only other animals or the remains of other animals; mammals having large, sharp canine teeth and strong jaw muscles for eating flesh."
carrier wave,specific frequency that a radio station is assigned and uses to broadcast signals.
carrying capacity,largest number of individuals of a particular species that an ecosystem can support over time.
cartilage,"tough, flexible tissue that joins vertebrae and makes up all or part of the vertebrate endoskeleton; in humans, thick, smooth, flexible, and slippery tissue layer that covers the ends of bones, makes movement easier by reducing friction, and absorbs shocks."
cast,a type of body fossil that forms when crystals fill a mold or sediments wash into a mold and harden into rock.
catalyst,substance that speeds up a chemical reaction without being permanently changed itself.
cathode-ray tube,sealed vacuum tube that produces one or more beams of electrons that produce an image when they strike the coating on the inside of a TV screen.
cave,underground opening that can form when acidic groundwater dissolves limestone.
cell membrane,protective outer covering of all cells that regulates the interaction between the cell and the environment.
cell theory,"states that all organisms are made up of one or more cells, the cell is the basic unit of life, and all cells come from other cells."
cell wall,"rigid structure that encloses, supports, and protects the cells of plants, algae, fungi, and most bacteria."
cell,smallest unit of an organism that can carry on life functions.
cellulose,chemical compound made out of sugar; forms tangled fibers in the cell walls of many plants and provides structure and support.
cementation,sedimentary rock-forming process in which sediment grains are held together by natural cements that are produced when water moves through rock and soil.
Cenozoic Era,"era of recent life that began about 66 million years ago and continues today; includes the first appearance of Homo sapiens about 400,000 years ago."
central nervous system,"division of the nervous system, made up of the brain and spinal cord."
centripetal acceleration,acceleration of an object toward the center of a curved or circular path.
centripetal force,a net force that is directed toward the center of a curved or circular path.
ceramics,"versatile materials made from dried clay or clay-like mixtures with customizable properties; produced by a process in which an object is molded and then heated to high temperatures, increasing its density."
cerebellum,"part of the brain that controls voluntary muscle movements, maintains muscle tone, and helps maintain balance."
cerebrum,"largest part of the brain, where memory is stored, movements are controlled, and impulses from the senses are interpreted."
chain reaction,ongoing series of fission reactions.
channel,groove created by water moving down the same path.
charging by contact,process of transferring charge between objects by touching or rubbing.
charging by,process of rearranging electrons on a
induction,neutral object by bringing a charged object close to it.
chemical bond,force that holds atoms together in a compound.
chemical change,change of one substance into a new substance.
chemical digestion,occurs when enzymes and other chemicals break down large food molecules into smaller ones.
chemical equation,shorthand method to describe chemical reactions using chemical formulas and other symbols.
chemical formula,chemical shorthand that uses symbols to tell what elements are in a compound and their ratios.
chemical potential energy,energy stored in chemical bonds.
chemical property,"any characteristic of a substance, such as flammability, that indicates whether it can undergo a certain chemical change."
chemical reaction,process in which one or more substances are changed into new substances.
chemical weathering,occurs when chemical reactions dissolve the minerals in rocks or change them into different minerals.
chemosynthesis,process in which producers make energy- rich nutrient molecules from chemicals.
chemotherapy,use of chemicals to destroy cancer cells.
chlorofluorocarbons (CFCs),"group of chemical compounds used in refrigerators, air conditioners, foam packaging, and aerosol sprays that may enter the atmosphere and destroy ozone."
chlorophyll,"green, light-trapping pigment in plant chloroplasts that is important in photosynthesis."
chloroplast,"green, chlorophyll-containing, plant-cell organelle that uses light energy to produce sugar from carbon dioxide and water."
chordate,"animal that has a notochord, a nerve cord, pharyngeal pouches, and a postanal tail present at some stage in its development."
chromosome,structure in a cell’s nucleus that contains hereditary material.
chromosphere,layer of the Sun’s atmosphere above the photosphere.
chyme,liquid product of digestion.
cilia,"in protists, short, threadlike structures that extend from the cell membrane of a ciliate and enable the organism to move quickly."
cinder cone volcano,"steep-sided, loosely packed volcano formed when tephra falls to the ground."
circuit,closed conducting loop through which an electric current can flow.
cleavage,"physical property of some minerals that causes them to break along smooth, flat surfaces."
climate,"average weather conditions of an area over time, including wind, temperature, and rainfall or other types of precipitation such as snow or sleet."
climax community,"stable, end stage of ecological succession in which balance is in the absence of disturbance."
closed circulatory system,blood circulation system in which blood moves through the body in closed vessels.
cloud chamber,radiation detector that uses water or ethanol vapor to detect the paths of charged particles.
coal,sedimentary rock formed from decayed plant material; the world’s most abundant fossil fuel.
cochlea,fluid-filled structure in the inner ear in which sound vibrations are converted into nerve impulses that are sent to the brain.
coefficient,number in a chemical equation that represents the number of units of each substance taking part in a chemical reaction.
coherent light,light of a single wavelength that travels in a single direction with its crests and troughs aligned.
colloid,heterogeneous mixture whose particles never settle.
combustion reaction,a type of chemical reaction that occurs when a substance reacts with oxygen to produce energy in the form of heat and light.
comet,"space object made of dust and rock particles mixed with frozen water, methane, and ammonia that forms a bright coma as it approaches the Sun."
commensalism,a type of symbiotic relationship in which one organism benefits and the other organism is not affected.
community,all the populations of different species that live in an ecosystem.
compaction,process that forms sedimentary rocks when layers of sediments are compressed by the weight of the layers above them.
composite volcano,volcano built by alternating explosive and quiet eruptions that produce layers of tephra and lava; found mostly where Earth’s plates come together and one plate sinks below the other.
composite,"mixture of two materials, one of which is embedded in the other."
compound machine,machine that is a combination of two or more simple machines.
compound,atoms of more than one type of element that are chemically bonded together.
compressional wave,a wave for which the matter in the medium moves back and forth along the direction that the wave travels.
concave lens,"a lens that is thicker at the edges than in the middle; causes light rays to diverge and forms reduced, upright, virtual images; and is usually used in combination with other lenses."
concave mirror,a reflective surface that curves inward and can magnify objects or create beams of light.
condensation,process in which water vapor changes to a liquid.
conditioning,occurs when the response to a stimulus becomes associated with another stimulus.
conduction,transfer of energy that occurs when molecules bump into each other.
conductivity,property of metals and alloys that allows heat or electrical charges to pass through the material easily.
conductor,"material, such as copper wire, in which electrons can move easily."
conic projection,map made by projecting points and lines from a globe onto a cone.
conservation,careful use of resources to reduce damage to the environment though such methods as composting and recycling materials.
constant,"in an experiment, a variable that does not change when other variables change."
constellation,"group of stars that forms a pattern in the sky that looks like a familiar object (Libra), animal (Pegasus), or character (Orion)."
consumer,organism that cannot create energy-rich molecules but obtains its food by eating other organisms.
continental drift,Wegener’s hypothesis that all continents were once connected in a single large landmass that broke apart about 200 million years ago and drifted slowly to their current positions.
continental shelf,gradually sloping end of a continent that extends beneath the ocean.
continental slope,ocean basin feature that dips steeply down from the continental shelf.
contour farming,planting along the natural contours of the land to reduce soil erosion.
contour feathers,"strong, lightweight feathers that give birds their coloring and shape and that are used for flight."
contour line,line on a map that connects points of equal elevation.
control,standard to which the outcome of a test is compared.
convection current,current in Earth’s mantle that transfers heat in Earth’s interior and is the driving force for plate tectonics.
convection,transfer of thermal energy in a fluid by the movement of warmer and cooler fluid from one place to another.
convex lens,a lens that is thicker in the middle than at the edges and can form real or virtual images.
convex mirror,"a reflective surface that curves outward and forms a reduced, upright, virtual image."
coral reef,diverse ecosystem formed from the calcium carbonate shells secreted by corals.
Coriolis effect,causes moving air and water to turn left in the southern hemisphere and turn right in the northern hemisphere due to Earth’s rotation.
cornea,transparent covering on the eyeball through which light enters the eye.
corona,"outermost, largest layer of the Sun’s atmosphere; extends millions of kilometers into space and has temperatures up to 2 million K."
coronary circulation,flow of blood to and from the tissues of the heart.
courtship behavior,behavior that allows males and females of the same species to recognize each other and prepare to mate.
covalent bond,attraction formed between atoms when they share electrons.
crater,steep-walled depression around a volcano’s vent.
creep,"a type of mass movement in which sediments move down-slope very slowly; is common in areas of freezing and thawing, and can cause walls, trees, and fences to lean downhill."
crest,highest point of a wave.
critical mass,amount of fissionable material required so that each fission reaction produces approximately one more fission reaction.
crop,digestive system sac in which earthworms store ingested soil.
crystal,"solid in which the atoms are arranged in an orderly, repeating pattern."
cuticle,"waxy, protective layer that covers the stems, leaves, and flowers of many plants and helps prevent water loss."
cyanobacteria,"chlorophyll-containing, photosynthetic bacteria thought to be one of Earth’s earliest life-forms."
cyclic behavior,behavior that occurs in repeated patterns.
cytoplasm,constantly moving gel-like mixture inside the cell membrane that contains heredity material and is the location of most of a cell’s life processes.
day-neutral plant,plant that doesn’t require a specific photoperiod and can begin the flowering process over a range of night lengths.
decibel,unit for sound intensity; abbreviated dB.
decomposition reaction,chemical reaction in which one substance breaks down into two or more substances.
deflation,"a type of erosion that occurs when wind blows over loose sediments, removes small particles, and leaves coarser sediments behind."
deforestation,"destruction and cutting down of forests— often to clear land for mining, roads, and grazing of cattle—resulting in increased atmospheric CO2levels."
dendrite,neuron structure that receives messages and sends them to the cell body.
density current,circulation pattern in the ocean that forms when a mass of more dense seawater sinks beneath less dense seawater.
density,measurement of the mass of an object divided by its volume.
deoxyribonucleic acid,a type of essential biological compound found in the nuclei of cells that codes and stores genetic information and controls the production of RNA.
dependent variable,factor that changes as a result of changes in the other variables.
depolymerization,process using heat or chemicals to break a polymer chain into its monomers.
deposition,"dropping of sediments that occurs when an agent of erosion, such as gravity, a glacier, wind, or water, loses its energy and can no longer carry its load."
dermis,"skin layer below the epidermis that contains blood vessels, nerves, oil and sweat glands, and other structures."
desert,"driest biome on Earth with less than 25 cm of rain each year; has dunes or thin soil with little organic matter, where plants and animals are adapted to survive extreme conditions."
dew point,temperature at which air is saturated and condensation forms.
diaphragm,muscle beneath the lungs that contracts and relaxes to move gases in and out of the body.
diatomic molecule,a molecule that consists of two atoms of the same element.
dicot,"angiosperm with two cotyledons inside its seed, flower parts in multiples of four or five, and vascular bundles in rings."
diffraction,the bending of waves around an obstacle; can also occur when waves pass through a narrow opening.
diffusion,a type of passive transport in cells in which molecules move from areas where there are more of them to areas where there are fewer of them; spreading of particles throughout a given volume until they are uniformly distributed.
digestion,mechanical and chemical breakdown of food into small molecules that cells can absorb and use.
dike,igneous rock feature formed when magma is squeezed into a vertical crack that cuts across rock layers and hardens underground.
diploid,cell whose similar chromosomes occur in pairs.
direct current (DC),electric current that flows in only one direction.
displacement,distance and direction of an object’s change in position from the starting point.
dissociation,process in which an ionic compound separates into its positive and negative ions.
distance,how far an object moves.
distillation,process than can separate two substances in a mixture by evaporating a liquid and recondensing its vapor.
DNA,deoxyribonucleic acid; the genetic material of all organisms; made up of two twisted strands of sugar-phosphate molecules and nitrogen bases.
dominant,"describes a trait that covers over, or dominates, another form of that trait."
doping,process of adding impurities to a semiconductor to increase its conductivity.
Doppler effect,change in pitch or frequency that occurs when a source of a sound is moving relative to a listener.
double-displacement reaction,"chemical reaction that produces a precipitate, water, or a gas when two ionic compounds in solution are combined."
down feathers,"soft, fluffy feathers that provide an insulating layer next to the skin of adult birds and that cover the bodies of young birds."
drainage basin,land area from which a river or stream collects runoff.
ductile,ability of metals to be drawn into wires.
ductility,ability of metals or alloys to be pulled into wires.
dune,mound formed when windblown sediments pile up behind an obstacle; common landform in desert areas.
eardrum,tough membrane in the outer ear that is about 0.1 mm thick and transmits sound vibrations into the middle ear.
earthquake,vibrations produced when rocks break along a fault.
echolocation,process in which objects are located by emitting sounds and interpreting sound waves that are reflected.
ecology,study of the interactions that take place among organisms and their environment.
ecosystem,all the living organisms that live in an area and the nonliving features of their environment.
ectotherm,vertebrate animal whose internal temperature changes when the temperature of its environment changes.
efficiency,"ratio of the output work done by the machine to the input work done on the machine, expressed as a percentage."
egg,haploid sex cell formed in the female reproductive organs.
El Niño,"climatic event that begins in the tropical Pacific Ocean; may occur when trade winds weaken or reverse, and can disrupt normal temperature and precipitation patterns around the world."
elastic potential energy,energy stored when an object is compressed or stretched.
electric current,"the net movement of electric charges in a single direction, measured in amperes (A)."
electric motor,device that converts electrical energy to mechanical energy by using the magnetic forces between an electromagnet and a permanent magnet to make a shaft rotate.
electrical power,rate at which electrical energy is converted to another form of energy; expressed in watts (W).
electrolyte,"compound that breaks apart in water, forming charged particles (ions) that can conduct electricity."
electromagnet,"temporary magnet made by wrapping a wire coil, carrying a current, around an iron core."
electromagnetic induction,process in which electric current is produced in a wire loop by a changing magnetic field.
electromagnetic spectrum,arrangement of electromagnetic waves according to their wavelengths.
electromagnetic,waves created by vibrating electric
waves,"charges, can travel through a vacuum or through matter, and have a wide variety of frequencies and wavelengths."
electron cloud,area around the nucleus of an atom where the atom’s electrons are most likely to be found.
electron dot diagram,uses the symbol for an element and dots representing the number of electrons in the element’s outer energy level.
electron,particle with a negative charge.
electrons,particles surrounding the center of an atom that have a charge of 1-.
element,substance that is made of only one type of atom.
ellipse,"elongated, closed curve that describes Earth’s yearlong orbit around the Sun."
embryo,fertilized egg that has attached to the wall of the uterus.
embryology,study of embryos and their development.
emphysema,lung disease in which the alveoli enlarge.
endergonic reaction,"chemical reaction that requires energy input (heat, light, or electricity) in order to proceed."
endocytosis,process by which a cell takes in a substance by surrounding it with the cell membrane.
endoplasmic reticulum (ER),cytoplasmic organelle that moves materials around in a cell and is made up of a complex series of folded membranes; can be rough (with attached ribosomes) or smooth (without attached ribosomes).
endoskeleton,supportive framework of bone and/or cartilage that provides an internal place for muscle attachment and protects a vertebrate’s internal organs.
endospore,"thick-walled, protective structure produced by some bacteria when conditions are unfavorable for survival."
endotherm,vertebrate animal with a nearly constant internal temperature.
endothermic reaction,chemical reaction that requires heat energy in order to proceed.
energy pyramid,model that shows the amount of energy available at each feeding level in an ecosystem.
enzyme,a type of protein that regulates nearly all chemical reactions in cells; a type of protein that speeds up chemical reactions in the body without being changed or used up itself.
eon,"longest subdivision in the geologic time scale that is based on the abundance of certain types of fossils and is subdivided into eras, periods, and epochs."
epicenter,point on Earth’s surface directly above an earthquake’s focus.
epidermis,"outer, thinnest skin layer that constantly produces new cells to replace the dead cells rubbed off its surface."
epoch,next-smaller division of geologic time after the period; is characterized by differences in life-forms that may vary regionally.
equator,"imaginary line that wraps around Earth at 0° latitude, halfway between the north and south poles."
equilibrium,occurs when molecules of one substance are spread evenly throughout another substance.
equinox,twice-yearly time—each spring and fall— when the Sun is directly over the equator and the number of daylight and nighttime hours are equal worldwide.
era,second-longest division of geologic time; is subdivided into periods and is based on major worldwide changes in types of fossils.
erosion,"process in which surface materials are worn away and transported from one place to another by agents such as gravity, water, wind, and glaciers."
estivation,"inactivity in hot, dry months."
estuary,area where a river meets the ocean that contains a mixture of freshwater and ocean water and provides an important habitat to many marine organisms.
ethics,study of moral values about what is good or bad.
evaporation,process that takes place when a liquid changes to a gas.
evolution,change in inherited characteristics over time.
exergonic reaction,"chemical reaction that releases some form of energy, such as light or heat."
exocytosis,process by which vesicles release their contents outside the cell.
exoskeleton,"thick, hard, outer covering that protects and supports arthropod bodies and provides places for muscles to attach."
exothermic reaction,chemical reaction in which energy is primarily given off in the form of heat.
extrusive,describes fine-grained igneous rock that forms when magma cools quickly at or near Earth’s surface.
galaxy,"large group of stars, dust, and gas held together by gravity; can be elliptical, spiral, or irregular."
galvanometer,a device that uses an electromagnet to measure electric current.
gametophyte stage,plant life cycle stage that begins when cells in reproductive organs undergo meiosis and produce haploid cells (spores).
gamma ray,electromagnetic wave with no mass and no charge that travels at the speed of light and is usually emitted with alpha or beta particles from a decaying atomic nucleus; has a wavelength less than about ten trillionths.
Geiger counter,radiation detector that produces a click or a flash of light when a charged particle is detected.
gem,"beautiful, rare, highly prized mineral that can be worn in jewelry."
gene,section of DNA on a chromosome that contains instructions for making specific proteins.
generator,device that uses electromagnetic induction to convert mechanical energy to electrical energy.
genetic engineering,"biological and chemical methods to change the arrangement of a gene’s DNA to improve crop production, produce large volumes of medicine, and change how cells perform their normal functions."
genetics,the study of how traits are inherited through the actions of alleles.
genotype,the genetic makeup of an organism.
genus,first word of the two-word scientific name used to identify a group of similar species.
geologic time scale,division of Earth’s history into time units based largely on the types of life- forms that lived only during certain periods.
geothermal energy,thermal energy in hot magma; can be converted by a power plant into electrical energy.
germination,series of events that results in the growth of a plant from a seed.
gestation period,period during which an embryo develops in the uterus; the length of time varies among species.
geyser,"hot spring that erupts periodically and shoots water and steam into the air—for example, Old Faithful in Yellowstone National Park."
giant,"late stage in the life of comparatively low-mass main sequence star in which hydrogen in the core is deleted, the core contracts and temperatures inside the star increase, causing its outer layers to expand and cool."
gills,organs that exchange carbon dioxide for oxygen in the water.
gizzard,muscular digestive system structure in which earthworms grind soil and organic matter.
glaciers,"large, moving masses of ice and snow that change large areas of Earth’s surface through erosion and deposition."
Global Positioning System (GPS),a system of satellites and ground monitoring stations that enable a receiver to determine its location at or above Earth’s surface.
global warming,increase in the average global temperature of Earth.
Golgi bodies,organelles that package cellular materials and transport them within the cell or out of the cell.
gradualism,model describing evolution as a slow process by which one species changes into a new species through a continuing series of mutations and variations over time.
granitic,"describes generally light-colored, silica-rich igneous rock that is less dense than basaltic rock."
graph,visual display of information or data that can provide a quick way to communicate a lot of information and allow scientists to observe patterns.
grasslands,temperate and tropical regions with 25 cm to 75 cm of precipitation each year that are dominated by climax communities of grasses; ideal for growing crops and raising cattle and sheep.
gravitational potential energy,energy stored by objects due to their position above Earth’s surface; depends on the distance above Earth’s surface and the object’s mass.
gravity,attractive force between two objects that depends on the masses of the objects and the distance between them.
Great Red Spot,"giant, high-pressure storm in Jupiter’s atmosphere."
greenhouse effect,"natural heating that occurs when certain gases in Earth’s atmosphere, such as methane, CO2, and water vapor, trap heat."
groundwater,water that soaks into the ground and collects in pores and empty spaces and is an important source of drinking water.
group,vertical column in the periodic table.
guard cells,pairs of cells that surround stomata and control their opening and closing.
gymnosperms,"vascular plants that do not flower, generally have needlelike or scalelike leaves, and produce seeds that are not protected by fruit; conifers, cycads, ginkgoes, and gnetophytes."
habitat,"place where an organism lives and that provides the types of food, shelter, moisture, and temperature needed for survival."
half-life,time it takes for half the atoms of an isotope to decay.
haploid,cell that has half the number of chromosomes as body cells.
hardness,measure of how easily a mineral can be scratched.
hazardous wastes,"waste materials, such as pesticides and leftover paints, that are harmful to human health or poisonous to living organisms."
heat engine,device that converts thermal energy into work.
heat of fusion,amount of energy required to change a substance from the solid phase to the liquid phase.
heat of vaporization,the amount of energy required for the liquid at its boiling point to become a gas.
heat,thermal energy that flows from a warmer material to a cooler material.
hemoglobin,"chemical in red blood cells that carries oxygen from the lungs to body cells, and carries some carbon dioxide from body cells back to the lungs."
herbivore,animal that eats only plants or parts of plants; mammals with large premolars and molars for eating only plants.
heredity,the passing of traits from parent to offspring.
hermaphrodite,animal that produces both sperm and eggs in the same body.
heterogeneous mixture,a mixture which is not mixed evenly and each component retains its own properties.
heterozygous,describes an organism with two different alleles for a trait.
hibernation,"behavioral adaptation for winter survival in which an animal’s activity is greatly reduced, its body temperature drops, and body processes slow down."
homeostasis,"regulation of an organism’s internal, life-maintaining conditions."
hominid,"humanlike primate that appeared about 4 million to 6 million years ago, ate both plants and meat, and walked upright on two legs."
Homo sapiens,early humans that likely evolved from Cro-Magnons.
homogeneous mixture,"solid, liquid, or gas that contains two or more substances blended evenly throughout."
homologous,body parts that are similar in structure and origin and can be similar in function.
homozygous,describes an organism with two alleles that are the same for a trait.
horizon,"each layer in a soil profile—horizon A (top layer of soil), horizon B (middle layer), and horizon C (bottom layer)."
hormone,"in humans, chemical produced by the endocrine system, released directly into the bloodstream by ductless glands; affects specific target tissues, and can speed up or slow down cellular activities."
host cell,living cell in which a virus can actively multiply or in which a virus can hide until activated by environmental stimuli.
hot spot,the result of an unusually hot area at the boundary between Earth’s mantle and core that forms volcanoes when melted rock is forced upward and breaks through the crust.
humidity,amount of water vapor held in the air.
humus,"dark-colored, decayed organic matter that supplies nutrients to plants and is found mainly in topsoil."
hurricane,"large, severe storm that forms over tropical oceans, has winds of at least 120 km/h, and loses power when it reaches land."
hybrid,an offspring that was given different genetic information for a trait from each parent.
hydrate,compound that has water chemically attached to its ions and written into its chemical formula.
hydrocarbon,saturated or unsaturated compound containing only carbon and hydrogen atoms.
hydroelectricity,electricity produced from the energy of falling water.
hydronium ions,#NAME?
hydrosphere,all the water on Earth’s surface.
hyphae,"mass of many-celled, threadlike tubes forming the body of a fungus."
hypothesis,educated guess using what you know and what you observe.
ice wedging,"mechanical weathering process that occurs when water freezes in the cracks of rocks and expands, causing the rock to break apart."
igneous rock,rock formed when magma or lava cools and hardens.
immune system,"complex group of defenses that protects the body against pathogens—includes the skin and respiratory, digestive, and circulatory systems."
impact basin,a hollow left on the surface of the Moon caused by an object striking its surface.
impermeable,describes materials that water cannot pass through.
imprinting,occurs when an animal forms a social attachment to another organism during a specific period following birth or hatching.
incandescent light,"light produced by heating a piece of metal, usually tungsten, until it glows."
inclined plane,"simple machine that consists of a sloping surface, such as a ramp, that reduces the amount of force needed to lift something by increasing the distance over which the force is applied."
incoherent light,"light that contains more than one wavelength, and travels in many directions with its crests and troughs unaligned."
incomplete dominance,production of a phenotype that is intermediate between the two homozygous parents.
independent variable,"factor that, as it changes, affects the measure of another variable."
index fossils,"remains of species that existed on Earth for a relatively short period of time, were abundant and widespread geographically, and can be used by geologists to assign the ages of rock layers."
index of refraction,property of a material indicating how much light slows down when traveling in the material.
indicator,organic compound that changes color in acids and bases.
inertia,resistance of an object to a change in its motion.
infectious disease,"disease caused by a virus, bacterium, fungus, or protist that is spread from an infected organism or the environment to another organism."
infrared waves,electromagnetic waves that have a wavelength between about 1 mm and 750 billionths of a meter.
inhibitor,substance that slows down a chemical reaction or prevents it from occurring by combining with a reactant.
innate behavior,"behavior that an organism is born with and does not have to be learned, such as a reflex or instinct."
inorganic compound,"compound, such as H2O, that is made from elements other than carbon and whose atoms usually can be arranged in only one structure."
insight,form of reasoning that allows animals to use past experiences to solve new problems.
instantaneous speed,"speed of an object at a given point in time; is constant for an object moving with constant speed, and changes with time for an object that is slowing down or speeding up."
instinct,"complex pattern of innate behavior, such as spinning a web, that can take weeks to complete."
