NGSS Topic,"Subtopics: 
UNIVERSE
EARTH'S SYSTEM
EARTH & HUMANS",Word,Definition,Rhyming Heplers,Number of Syllables,Level of Difficulty,Broad Grade Level,SFUSD Grade,Definition?!
Earth,UNIVERSE,Galaxy,"large group of stars, dust, and gas held together by gravity; can be elliptical, spiral, or irregular.","absently, actually, agony, alchemy, atrophy, balcony, casually, family, gravity, fallacy, happily, pageantry, randomly, rationally, sanity, tapestry, thanksfully, valiantly",3,3,,,
Earth,HUMANS,Gas,#N/A,"brass, class, glass, grass, mass, pass, sass, amass, alas, ",1,1,,,
Earth,UNIVERSE,Geologic,#N/A,"logic, topic, symbollic, rock it, ",3,2,,,
Earth,HUMANS,Globe,#N/A,"-phobe, lobe, probe, robe, strobe, cope, dope, hope, nope, Pope, soap, slope",1,1,Middle School,6,
Earth,UNIVERSE,Gravity,attractive force between two objects that depends on the masses of the objects and the distance between them.,"mad at me, sad to see, cavity, actively, alchemy, apathy, casually, cavalry, drastically, graphically, magically, panicky, rationally, randomly, travesty, vanity",3,3,Middle School,6,
Earth,HUMANS,Greenhouse Gas,#N/A,"brass, class, glass, grass, mass, pass, sass, amass, alas, ",3,3,Middle School,6,
Earth,HUMANS,Groundwater,water that soaks into the ground and collects in pores and empty spaces and is an important source of drinking water.,"blotter, daughter, hotter, otter, Potter, slaughter, spotter, swatter, alma mater, ",3,3,,,
Earth,HUMANS,Habitat,"place where an organism lives and that provides the types of food, shelter, moisture, and temperature needed for survival.","at, bat, cat, chat, flat, hat, mat, pat, rat, sat, scat, splat",3,1,Middle School,6,
Earth,EARTH SYSTEMS,Heat,thermal energy that flows from a warmer material to a cooler material.,"beat, beet, bleat, cheat, cleat, eat, feet, fleet, meat, peat, Pete, seat, sheet, sleet, street, suite, sweet, treat, tweet, wheat",1,1,,7,
Earth,UNIVERSE,History,#N/A,"mystery, briskly, crisply, swiftly, inquiry, misery, victory",3,3,,,
Earth,HUMANS,Humans,#N/A,"blooming, Truman, cumin, fluent, looming, lumen, movement, mutant, proven, prudent, ruin, students, truant, using",2,2,Middle School,6,
Earth,EARTH SYSTEMS,Humidity,amount of water vapor held in the air.,"fluidity, liquidity, morbidity, solidity, validity",4,3,Middle School,6,
Earth,HUMANS,Hurricane,"large, severe storm that forms over tropical oceans, has winds of at least 120 km/h, and loses power when it reaches land.","brain, can, cahin, drain, feign, gain, grain, main, lane, plain, rain, Spain, sprain, stain, train, vane, vein, wane",3,3,,,
Earth,EARTH SYSTEMS,Ice,#N/A,"dice, gneiss, mice, nice, price, rice, slice, spice, splice, trice, twice, vice, advice, entice, precise",1,1,Middle School,6,
Earth,HUMANS,Impact,#N/A,"act, backed, cracked, fact, lacked, packed, sacked, stacked, tact, tracked, abstract, compact, contact, intact",2,2,,,
Earth,EARTH SYSTEMS,Land,#N/A,"band, banned, bland, brand, canned, fanned, gland, grand, hand, manned, planned, rand, sand, strand, tanned",1,,Middle School,6,
Earth,EARTH SYSTEMS,Latitude,distance in degrees north or south of the equator.,"brood, crude, dude, feud, food, glued, mood, shrewed, sued, viewed, you'd mad at you, happen to,  altitude, attitude, gratitude, solitude",3,3,Middle School,6,
Earth,HUMANS,Levee,#N/A,"bevy, Chevy, heavy, levy, belly, deadly, envy, many, ready, steady, sweaty, very",2,2,Middle School,6,
Earth,HUMANS,Life,#N/A,"knife, strife, wife, rife, dice, mice, nice, ice, splice, rice, writhe, ",1,1,Middle School,6,
Earth,EARTH SYSTEMS,Low Pressure,#N/A,"no pleasure, cope better, home wrecker, so clever, no better, no weather",3,3,,,
Earth,UNIVERSE,Lunar,#N/A,"crooner, pruner, sooner, tuner, cooler, cougar, fewer, humor, luna, ruler, rumor, sewer, stupor, super, tumor, user",2,2,,,
Earth,EARTH SYSTEMS,Maps,#N/A,"apps, caps, craps, gaps, lapse, scraps, taps, wraps, collapse, elapse, perhapse, relapse",1,1,,,
Earth,EARTH SYSTEMS,Mariana Trench,#N/A,"bench, clench, drench, French, quench, stench, wrench, avenge, events, vents",3,3,,,
Earth,EARTH SYSTEMS,Matter,anything that has mass and takes up space.,"batter, chatter, clatter, flatter, Hater, latter, patter, scatter, splatter, tatter, actor, answer, bladder, chapter, hammer, saturn, swagger, wrapper, rapper",,,,,
Earth,EARTH SYSTEMS,Melt,#N/A,"belt, dealt, felt, pelt, smelt, spelt, svelt, welt, heartfelt, seat belt, ",,,,,
Earth,UNIVERSE,Milky Way,#N/A,sample rhyme,,,,,
Earth,HUMANS,Minerals,#N/A,sample rhyme,,,,7,
Earth,EARTH SYSTEMS,Minerals,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Model,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Moon,#N/A,sample rhyme,,,,8,
Earth,UNIVERSE,Motion,#N/A,sample rhyme,,,,,
Earth,HUMANS,Ocean,#N/A,sample rhyme,,,,7,
Earth,UNIVERSE,Orbit,curved path followed by a satellite as it revolves around an object.,sample rhyme,,,,,
Earth,HUMANS,Ore,deposit in which a mineral exists in large enough amounts to be mined at a profit.,sample rhyme,,,,,
Earth,UNIVERSE,Patterns,#N/A,sample rhyme,,,,,
Earth,HUMANS,Petroileum,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Planet,#N/A,sample rhyme,,,,8,
Earth,EARTH SYSTEMS,Plates,#N/A,sample rhyme,,,,7,
Earth,UNIVERSE,Pluto,#N/A,sample rhyme,,,,8,
Earth,HUMANS,Pollution,"introduction of wastes to an environment, such as sewage and chemicals, that can damage organisms.",sample rhyme,3,,Middle School,6,
Earth,EARTH SYSTEMS,Precipitation,"water falling from clouds—including rain, snow, sleet, and hail—whose form is determined by air temperature.",sample rhyme,5,,Middle School,6,
Earth,EARTH SYSTEMS,Pressure,amount of force exerted per unit area; SI unit is the pascal (Pa).,sample rhyme,2,,Middle School,6,
Earth,UNIVERSE,Pull,#N/A,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Quake,#N/A,sample rhyme,,,,7,
Earth,HUMANS,Removal,#N/A,sample rhyme,,,,,
Earth,HUMANS,Renewable,#N/A,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Rocks,#N/A,sample rhyme,,,,7,
Earth,HUMANS,Satellite,any natural or artificial object that revolves around another object.,sample rhyme,,,,,
Earth,UNIVERSE,Scale,#N/A,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Scale,#N/A,sample rhyme,,,,,
Earth,EARTH SYSTEMS,seafloor,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Season,short period of climate change in an area caused by the tilt of Earth’s axis as Earth revolves around the Sun.,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Sedimentation,#N/A,sample rhyme,,,,,
Earth,HUMANS,Soil,"mixture of mineral and rock particles, the remains of dead organisms, air, and water that forms the topmost layer of Earth’s crust and supports plant growth.",sample rhyme,,,,,
Earth,UNIVERSE,Solar radiation,#N/A,sample rhyme,,,,7,
Earth,UNIVERSE,Solar System,"system of nine planets, including Earth, and other objects that revolve around the Sun.",sample rhyme,,,,8,
Earth,UNIVERSE,Space,#N/A,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Space,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Spacecraft,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Stars,#N/A,sample rhyme,,,,8,
Earth,EARTH SYSTEMS,Stream,#N/A,sample rhyme,1,,Middle School,6,
Earth,EARTH SYSTEMS,Sun,#N/A,"bun, done, fun, gun, none, pun, shun, spun, ton, run, one, won",1,1,Middle School,6,
Earth,UNIVERSE,Sun,#N/A,"bun, done, fun, gun, none, pun, shun, spun, ton, run, one, won",1,1,Middle School,6,
Earth,EARTH SYSTEMS,Tectonic,#N/A,sample rhyme,,,,7,
Earth,EARTH SYSTEMS,Temperature,measure of the average kinetic energy of all the particles in an object.,"cellular, editor, predator, competitor, molecular, developer, Medicare, messenger, metaphor, nebular, pedaler, regular, secular, senator, settler, segosaur, wrestler",3,3,Middle School,6,
Earth,UNIVERSE,Tilt,#N/A,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Time,#N/A,sample rhyme,,,,,
Earth,HUMANS,Tornado,"violent, whirling windstorm that crosses land in a narrow path and can result from wind shears inside a thunderhead.",sample rhyme,,,,,
Earth,HUMANS,Tsunami,seismic sea wave that begins over an earthquake focus and can be highly destructive when it crashes on shore.,sample rhyme,,,,,
Earth,HUMANS,Uneven,#N/A,sample rhyme,,,,,
Earth,UNIVERSE,Universe,#N/A,sample rhyme,,,,8,
Earth,EARTH SYSTEMS,Variation,inherited trait that makes an individual different from other members of the same species and results from a mutation in the organism’s genes.,sample rhyme,4,,Middle School,6,
Earth,HUMANS,Volcano,"opening in Earth’s surface that erupts sulfurous gases, ash, and lava; can form at Earth’s plate boundaries, where plates move apart or together, and at hot spots.",sample rhyme,,,,,
Earth,HUMANS,Water,#N/A,"blotter, daughter, hotter, otter, Potter, slaughter, spotter, swatter, alma mater, ",2,2,Middle School,6,
Earth,EARTH SYSTEMS,Water,#N/A,sample rhyme,,,,7,
Earth,EARTH SYSTEMS,Weather,"state of the atmosphere at a specific time and place, determined by factors including air pressure, amount of moisture in the air, temperature, wind, and precipitation.",sample rhyme,2,,Middle School,6,
Earth,EARTH SYSTEMS,Weathering,mechanical or chemical surface processes that break rock into smaller and smaller pieces.,sample rhyme,,,,,
Earth,EARTH SYSTEMS,Wind,#N/A,sample rhyme,1,,Middle School,6,
